AccountRecord(acctId=1, acctActiveStatus=Y, acctCurrBal=1940, acctCreditLimit=20200, acctCashCreditLimit=10200, acctOpenDate=2014-11-20, acctExpiraionDate=2025-05-20, acctReissueDate=2025-05-20, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=2, acctActiveStatus=Y, acctCurrBal=1580, acctCreditLimit=61300, acctCashCreditLimit=54480, acctOpenDate=2013-06-19, acctExpiraionDate=2024-08-11, acctReissueDate=2024-08-11, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=3, acctActiveStatus=Y, acctCurrBal=1470, acctCreditLimit=49090, acctCashCreditLimit=5380, acctOpenDate=2013-08-23, acctExpiraionDate=2024-01-10, acctReissueDate=2024-01-10, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=4, acctActiveStatus=Y, acctCurrBal=400, acctCreditLimit=35030, acctCashCreditLimit=27890, acctOpenDate=2012-11-17, acctExpiraionDate=2023-12-16, acctReissueDate=2023-12-16, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=5, acctActiveStatus=Y, acctCurrBal=3450, acctCreditLimit=38190, acctCashCreditLimit=24300, acctOpenDate=2012-10-03, acctExpiraionDate=2025-03-09, acctReissueDate=2025-03-09, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=6, acctActiveStatus=Y, acctCurrBal=2180, acctCreditLimit=35840, acctCashCreditLimit=29480, acctOpenDate=2017-12-23, acctExpiraionDate=2025-10-08, acctReissueDate=2025-10-08, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=7, acctActiveStatus=Y, acctCurrBal=1930, acctCreditLimit=20650, acctCashCreditLimit=2640, acctOpenDate=2012-10-12, acctExpiraionDate=2024-12-13, acctReissueDate=2024-12-13, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=8, acctActiveStatus=Y, acctCurrBal=6050, acctCreditLimit=61040, acctCashCreditLimit=13180, acctOpenDate=2012-01-04, acctExpiraionDate=2024-05-20, acctReissueDate=2024-05-20, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=9, acctActiveStatus=Y, acctCurrBal=5600, acctCreditLimit=82010, acctCashCreditLimit=20650, acctOpenDate=2016-08-27, acctExpiraionDate=2024-12-27, acctReissueDate=2024-12-27, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=10, acctActiveStatus=Y, acctCurrBal=1590, acctCreditLimit=54010, acctCashCreditLimit=44420, acctOpenDate=2015-09-13, acctExpiraionDate=2023-01-27, acctReissueDate=2023-01-27, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=11, acctActiveStatus=Y, acctCurrBal=2120, acctCreditLimit=49980, acctCashCreditLimit=31750, acctOpenDate=2014-09-12, acctExpiraionDate=2025-03-12, acctReissueDate=2025-03-12, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
